# Name: Histogram_1
# Instrument: CNCS
# Ei: 2.7
# Binning: 
# 	[H,H,0]: 75 bins from 0.0 to 0.75, step 0.01
# 	DeltaE: 72 bins from 0.2 to 2.0, step 0.025
# 	[0,0,L]: 1 bins from -3.05 to -2.95
# 	[H,-H,0]: 1 bins from -0.1 to 0.1
# UnitCell:
# 	Lattice parameters: a = 5.71082 b = 5.70969 c = 21.4314 alpha = 90.0249 beta = 89.9439 gamma = 119.988
# 	Orientation u:[0.76409,0.91221,20.4881]	v:[2.70519,2.75431,-6.28141]
# Intensity Error [H,H,0] DeltaE [0,0,L] [H,-H,0]
#  shape: 75x72x1x1
1.834217e-03 1.578654e-04 5.000000e-03 1.862499e+00 -3.000000e+00 0.000000e+00
7.598264e-04 1.006421e-04 5.000000e-03 1.887499e+00 -3.000000e+00 0.000000e+00
1.191713e-04 3.972411e-05 5.000000e-03 1.912499e+00 -3.000000e+00 0.000000e+00
1.911565e-04 4.935652e-05 5.000000e-03 1.937499e+00 -3.000000e+00 0.000000e+00
5.389156e-04 8.315708e-05 5.000000e-03 1.962499e+00 -3.000000e+00 0.000000e+00
3.453638e-04 6.646565e-05 5.000000e-03 1.987499e+00 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 2.125000e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 2.375000e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 2.625000e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 2.875000e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 3.125000e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 3.375000e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 3.624999e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 3.874999e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 4.124999e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 4.374999e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 4.624999e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 4.874999e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 5.124999e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 5.374999e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 5.624999e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 5.874999e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 6.124999e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 6.374998e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 6.624998e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 6.874998e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 7.124998e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 7.374998e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 7.624998e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 7.874998e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 8.124998e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 8.374998e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 8.624998e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 8.874998e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 9.124997e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 9.374997e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 9.624997e-01 -3.000000e+00 0.000000e+00
nan nan 1.500000e-02 9.874997e-01 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 1.500000e-02 1.012500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 1.500000e-02 1.037500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 1.500000e-02 1.062500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 1.500000e-02 1.087500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 1.500000e-02 1.112500e+00 -3.000000e+00 0.000000e+00
0.000000e+00 0.000000e+00 1.500000e-02 1.137500e+00 -3.000000e+00 0.000000e+00
